Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Deployed to Prod),Custom field (Impact to User),Custom field (Patch Description),Custom field (QA Feature),Custom field (QA Status),Custom field (Question Details),Custom field (Rank),Custom field (Severity),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Tester),Custom field (Ticket Health),Custom field (Triaged By),Custom field (ZaaS Rank),Comment,Comment,Comment
Verify user can paste copied key from clipboard,ZING-2455,65893,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:09 PM,13/Mar/19 12:05 PM,30/Mar/19 9:25 PM,13/Mar/19 12:05 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958567,,rserrano,,,,,,,,,,13/Mar/19 12:05 PM,,,,QA automated,,0|w00880:,3,,1,,Ticket Healthy,rserrano,0|i08fmn:,,,
Verify key creation date and creator email,ZING-2454,65892,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:09 PM,27/Mar/19 12:20 PM,27/Mar/19 12:20 PM,27/Mar/19 12:20 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958566,,rserrano,,,,,,,,,,27/Mar/19 12:20 PM,,,,QA automated,,0|w0087s:,3,,1,,Ticket Healthy,rserrano,0|i08fmf:,,,
User can revoke API client key,ZING-2453,65891,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:08 PM,13/Mar/19 12:05 PM,30/Mar/19 9:25 PM,13/Mar/19 12:05 PM,,,,0,e2e,,,https://testrail.zenoss.loc/index.php?/cases/view/5958565,,rserrano,,,,,,,,,,13/Mar/19 12:05 PM,,,,QA automated,,0|w0087k:,3,,1,,Ticket Healthy,rserrano,0|i08fm7:,,,
Verify generated key was correctly saved and persists after sign-out,ZING-2452,65890,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:08 PM,27/Mar/19 12:20 PM,27/Mar/19 12:20 PM,27/Mar/19 12:20 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958564,,rserrano,,,,,,,,,,27/Mar/19 12:20 PM,,,,QA automated,,0|w0087c:,3,,1,,Ticket Healthy,rserrano,0|i08flz:,,,
User can generate API client key,ZING-2451,65889,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:07 PM,28/Feb/19 11:44 AM,30/Mar/19 9:25 PM,28/Feb/19 11:44 AM,,,,0,e2e,,,TR:https://testrail.zenoss.loc/index.php?/cases/view/5958563,,rserrano,,,,,,,,,,28/Feb/19 11:44 AM,,,,QA automated,,0|w00874:,3,,3,,Ticket Healthy,rserrano,0|i08flr:,,,
User can collapse API client,ZING-2450,65888,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:07 PM,01/Mar/19 8:54 AM,30/Mar/19 9:25 PM,01/Mar/19 8:54 AM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958562,,rserrano,,,,,,,,,,01/Mar/19 8:54 AM,,,,QA automated,,0|w0086w:,3,,1,,Ticket Healthy,rserrano,0|i08flj:,,,
User can expand API client,ZING-2449,65887,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:06 PM,01/Mar/19 8:54 AM,30/Mar/19 9:25 PM,01/Mar/19 8:54 AM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958561,,rserrano,,,,,,,,,,01/Mar/19 8:54 AM,,,,QA automated,,0|w0086o:,3,,1,,Ticket Healthy,rserrano,0|i08flb:,,,
User can delete API client,ZING-2448,65886,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,rserrano,rserrano,19/Feb/19 2:06 PM,13/Mar/19 12:08 PM,30/Mar/19 9:25 PM,13/Mar/19 12:08 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958560,,rserrano,,,,,,,,,,13/Mar/19 12:08 PM,,,,QA automated,,0|w0086g:,3,,1,,Ticket Healthy,rserrano,0|i08fl3:,,,
User can edit API client,ZING-2447,65885,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,dmorua,rserrano,rserrano,19/Feb/19 2:05 PM,27/Mar/19 12:31 PM,27/Mar/19 12:31 PM,27/Mar/19 12:31 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958559,,rserrano,,,,,,,22/Mar/19 12:59 PM;dmorua;Screen Shot 2019-03-22 at 11.58.39 AM.png;https://jira.zenoss.com/secure/attachment/60696/Screen+Shot+2019-03-22+at+11.58.39+AM.png,,,27/Mar/19 12:31 PM,,,,QA automated,,0|w00868:,3,,1,,Ticket Healthy,rserrano,0|i08fkv:,,,
User can add API client,ZING-2446,65884,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,19/Feb/19 2:05 PM,28/Feb/19 6:00 PM,30/Mar/19 9:25 PM,28/Feb/19 6:00 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5958558,,rserrano,,,,,,,,,,28/Feb/19 6:00 PM,,,,QA automated,,0|w00860:,3,,3,,Ticket Healthy,rserrano,0|i08fkn:,,,
Verify Model Changes reflect data on time after Vmotion,ZING-2425,65852,,Story,Open,ZING,ZING,software,ian,,,,dmorua,dmorua,18/Feb/19 1:19 PM,21/Feb/19 11:50 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,"[http://testrail.zenoss.loc/index.php?/cases/view/5912840]

 ",,dmorua,,,,,ZING-2418,,,,Automated TC,,,,,QA needed,,0|w007zk:,3,,,,Ticket Healthy,,0|i08fdj:,,,
SmartView entities reflect the data from the Device (UCS-C-SERIES Server),ZING-2418,65842,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,dmorua,dmorua,15/Feb/19 3:43 PM,20/Feb/19 2:30 PM,30/Mar/19 9:25 PM,20/Feb/19 2:30 PM,,,,0,e2e,,,"[https://testrail.zenoss.loc/index.php?/cases/view/5912837]

 

 ",,dmorua,,,,,,,,,Automated TC,20/Feb/19 2:30 PM,,,,QA automated,,0|w007xc:,3,,,,Ticket Healthy,,0|i08fbb:,,,
Delegate roles to CZ control,ZING-2416,65839,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,15/Feb/19 3:11 PM,27/Mar/19 12:21 PM,27/Mar/19 12:21 PM,27/Mar/19 12:21 PM,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5689788,,rserrano,,,,,,,,,,27/Mar/19 12:21 PM,,,,QA needed,,0|w007wo:,3,,3,,Ticket Healthy,sgonzalez,0|i08fan:,,,
Verify the session expiration time,ZING-2415,65838,,Story,Backlog,ZING,ZING,software,ian,,,sgonzalez,rserrano,rserrano,15/Feb/19 3:10 PM,15/Mar/19 9:55 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/5689033,,rserrano,,,,,,,,,,,,,,QA needed,,0|w007wg:,3,,2,,Ticket Healthy,sgonzalez,0|i08faf:,,,
Vote up/down charts,ZING-2414,65837,,Story,Open,ZING,ZING,software,ian,,,,rserrano,rserrano,15/Feb/19 3:07 PM,15/Feb/19 3:07 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,TR: https://testrail.zenoss.loc/index.php?/cases/view/4305412,,rserrano,,,,,,,,,,,,,,QA needed,,0|w007w8:,3,,,,Ticket Healthy,,0|i08fa7:,,,
Review TR test cases with e2e automation,ZING-2413,65836,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,15/Feb/19 2:53 PM,13/Mar/19 12:25 PM,30/Mar/19 9:25 PM,13/Mar/19 12:25 PM,,,,0,e2e,,,Check that everything is correctly sync,,rserrano,,,,,,,,,,13/Mar/19 12:25 PM,,,,QA needed,,0|w007g4:,3,,1,,Ticket Healthy,sgonzalez,0|i08f9z:,,,
SmartView entities reflect the data from the Device (Windows Server),ZING-2409,65823,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,dmorua,dmorua,15/Feb/19 12:17 PM,20/Feb/19 2:30 PM,30/Mar/19 9:25 PM,20/Feb/19 2:30 PM,,,,0,e2e,,,"[http://testrail.zenoss.loc/index.php?/cases/view/5912820]

 ",,dmorua,,,,,ZING-2398,,,,Automated TC,20/Feb/19 2:30 PM,,,,QA automated,,0|w007tc:,3,,,,Ticket Healthy,,0|i08f73:,,,
SmartView entities reflect the data from the Device (SSH Linux Device),ZING-2398,65800,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,dmorua,dmorua,14/Feb/19 4:53 PM,20/Feb/19 2:29 PM,30/Mar/19 9:25 PM,20/Feb/19 2:29 PM,,,,0,e2e,,,http://testrail.zenoss.loc/index.php?/cases/view/5893905,,dmorua,rserrano,,,,,,,,Automated TC,20/Feb/19 2:29 PM,,,,QA automated,,0|w007og:,3,,,,Ticket Healthy,,0|i08f1z:,20/Feb/19 2:29 PM;rserrano;Found and report the following bug: https://jira.zenoss.com/browse/ZING-2467,,
API scenarios creation,ZING-2367,65758,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,14/Feb/19 7:49 AM,20/Feb/19 2:31 PM,30/Mar/19 9:25 PM,20/Feb/19 2:31 PM,,,,0,e2e,,,"Create scenarios for the API feature based on the following documents.
 * https://docs.google.com/document/d/1SNPK-rzs7x_gih272ZonydTQZ9WH-q6lG3hksWpu3tg/edit#
 * https://docs.google.com/document/d/17uAJ3SIwFhUJA4zsGgUChJDoFe_jHWAYcG7wwxNstS8/edit#",,rserrano,,,,,,,,,,20/Feb/19 2:31 PM,,,,QA needed,,0|w007g0:,3,,1,,Ticket Healthy,rserrano,0|i08esn:,,,
E2E-long testdata maintnance due to device changes,ZING-2303,65524,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,sgonzalez,rserrano,rserrano,07/Feb/19 10:02 AM,20/Feb/19 2:27 PM,30/Mar/19 9:25 PM,20/Feb/19 2:27 PM,,,,0,e2e,,,"Devices were modified when cucumber/ruby automation was run in `e2e-long` which now requires the NW testdata to be modified. 

Please create the required documentation to set up testdata for a new environment.",,rserrano,sgonzalez,,,,,,,,,20/Feb/19 2:27 PM,,,,QA automated,,0|w0068o:,3,,3,rserrano,Ticket Healthy,rserrano,0|i08dkf:,11/Feb/19 4:01 PM;sgonzalez;[Here|https://docs.google.com/document/d/10qxOJl8GtKaegLQx4ZwWjPJ3HiowuDvhjjhJrbIx8RE/edit#heading=h.5gw5ace0oifi] you can see the documentation.,,
Explore Events in a console,ZING-2239,65342,,Story,Open,ZING,ZING,software,ian,,,,rserrano,rserrano,31/Jan/19 2:17 PM,31/Jan/19 2:17 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689125,,rserrano,,,,,,,,,,,,,,QA needed,,0|w0054w:,3,,,,Ticket Healthy,,0|i08cfz:,,,
Events visual correlation with a focus line,ZING-2238,65341,,Story,Open,ZING,ZING,software,ian,,,,rserrano,rserrano,31/Jan/19 2:16 PM,31/Jan/19 2:16 PM,30/Mar/19 9:25 PM,,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689124,,rserrano,,,,,,,,,,,,,,QA needed,,0|w0054o:,3,,,,Ticket Healthy,,0|i08cfr:,,,
Find events on small graph metrics and related entities,ZING-2237,65340,,Story,Open,ZING,ZING,software,ian,,,,rserrano,rserrano,31/Jan/19 2:15 PM,15/Feb/19 9:10 AM,30/Mar/19 9:25 PM,,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689123,,rserrano,,,,,,,,,,,,,,QA needed,,0|w0054g:,3,,,,Ticket Healthy,,0|i08cfj:,,,
User can open the info tooltip on selected event,ZING-2236,65339,,Story,In Progress,ZING,ZING,software,ian,,,sgonzalez,rserrano,rserrano,31/Jan/19 2:15 PM,29/Mar/19 5:19 PM,29/Mar/19 5:19 PM,,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689122,,rserrano,,,,,,,,,,,,,,QA needed,,0|w00548:,3,,1,,Ticket Healthy,rserrano,0|i08cfb:,,,
User can select an event from the results section,ZING-2235,65338,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 2:14 PM,28/Feb/19 11:44 AM,30/Mar/19 9:25 PM,28/Feb/19 11:44 AM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689121,,rserrano,,,,,,,,,,28/Feb/19 11:44 AM,,,,QA automated,,0|w00540:,3,,1,,Ticket Healthy,rserrano,0|i08cf3:,,,
User can group events,ZING-2234,65337,,Story,Prod Stack,ZING,ZING,software,ian,,Fixed,rserrano,rserrano,rserrano,31/Jan/19 2:14 PM,28/Feb/19 11:44 AM,30/Mar/19 9:25 PM,28/Feb/19 11:44 AM,,,,0,e2e,,,TC: https://testrail.zenoss.loc/index.php?/cases/view/5689120,,rserrano,,,,,,,,,,28/Feb/19 11:44 AM,,,,QA automated,,0|w0053s:,3,,1,dmorua,Ticket Healthy,rserrano,0|i08cev:,,,
